connexion;geo_point_2d;geo_shape;id_gares;nom_gares;id_ref_zdc;nom_zdc;id_ref_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;style;idf;principal;x;y
550;48.932196005027805,2.495513142584313;"{""coordinates"": [2.495513142584313, 48.932196005027805], ""type"": ""Point""}";956;Aulnay-sous-Bois;72646;Aulnay-sous-Bois;43071;A02175;C01738;TRAIN K;K;TRAIN;0;0;0;0;0;SNCF;#AE9A00;solid;1;1;663037.8693;6870364.5512
852;48.99139140194027,2.6650598693073007;"{""coordinates"": [2.665059869307301, 48.99139140194027], ""type"": ""Point""}";198;Compans;69136;Compans;46731;A02175;C01738;TRAIN K;K;TRAIN;0;0;0;0;0;SNCF;#AE9A01;solid;1;0;675487.8426;6876881.3322
1064;49.23101805923178,2.887366704975861;"{""coordinates"": [2.887366704975861, 49.23101805923178], ""type"": ""Point""}";1063;Crépy-en-Valois;411397;Crépy-en-Valois;411396;A02175;C01738;TRAIN K;K;TRAIN;TRAIN K;0;0;0;0;SNCF;#AE9A02;dotted;0;0;691795.0734;6903486.8914
1066;49.032279109980884,2.699222253625638;"{""coordinates"": [2.699222253625638, 49.032279109980884], ""type"": ""Point""}";230;Dammartin-Juilly-Saint-Mard;69254;Dammartin - Juilly - Saint-Mard;46736;A02175;C01738;TRAIN K;K;TRAIN;0;0;0;0;0;SNCF;#AE9A03;solid;1;1;678005.2801;6881418.3975
956;48.88092200573709,2.3563285436701618;"{""coordinates"": [2.356328543670162, 48.88092200573709], ""type"": ""Point""}";308;Gare du Nord;71410;Gare du Nord;462394;A02175;C01738;TRAIN K;K;TRAIN;TRAIN K;0;0;0;0;SNCF;#AE9A04;solid;1;1;652793.9852;6864737.2079
1065;49.096120808888976,2.7446862074424234;"{""coordinates"": [2.744686207442423, 49.096120808888976], ""type"": ""Point""}";1066;Le Plessis-Belleville;411406;Le Plessis-Belleville;411405;A02175;C01738;TRAIN K;K;TRAIN;0;0;0;0;0;SNCF;#AE9A05;dotted;0;0;681352.8292;6888506.9086
198;48.97585875308649,2.6424063023101887;"{""coordinates"": [2.642406302310189, 48.97585875308649], ""type"": ""Point""}";550;Mitry-Claye;69065;Mitry - Claye;43164;A02175;C01738;TRAIN K;K;TRAIN;0;0;0;0;0;SNCF;#AE9A06;solid;1;1;673822.1592;6875161.2649
1064;49.14288419739151,2.7944545501073197;"{""coordinates"": [2.79445455010732, 49.14288419739151], ""type"": ""Point""}";1065;Nanteuil-le-Haudouin;411391;Nanteuil-le-Haudouin;411390;A02175;C01738;TRAIN K;K;TRAIN;0;0;0;0;0;SNCF;#AE9A07;dotted;0;0;685001.2538;6893697.4278
1063;49.20087707816823,2.838108478036551;"{""coordinates"": [2.838108478036551, 49.20087707816823], ""type"": ""Point""}";1064;Ormoy-Villers;411388;Ormoy-Villers;411387;A02175;C01738;TRAIN K;K;TRAIN;0;0;0;0;0;SNCF;#AE9A08;dotted;0;0;688199.9209;6900140.4555
230;49.00811401680905,2.680252455973216;"{""coordinates"": [2.680252455973216, 49.00811401680905], ""type"": ""Point""}";852;Thieux-Nantouillet;69196;Thieux - Nantouillet;47960;A02175;C01738;TRAIN K;K;TRAIN;0;0;0;0;0;SNCF;#AE9A09;solid;1;0;676607.2167;6878736.4249
